name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
RO,24.03,23.67,20.46,21.46,28.66,40.77,44.05,47.5,45.06,48.28,51.89,43.35,34.33,40.11,30.9,24.64,24.49,28.28,38.71,33.31,35.37,40.7,42.95,38.88,38.04,36.17,37.44,27.17,32.14,35.77,34.95,28.55,33.08,27.95,33.06,33.93,39.33,30.68
DF,12.32,13.89,15.76,14.03,12.41,18.25,17.46,22.38,20.86,21.73,29.69,30.54,25.84,33.05,32.59,36.19,33.76,32.66,32.91,33.45,34.07,33.04,29.87,33.88,31.16,28.16,27.69,29.21,31.75,33.83,30.58,34.56,36.02,30.0,29.55,25.46,25.53,20.07
GO,12.15,18.78,18.38,17.95,16.29,14.82,15.53,17.4,20.93,21.02,17.33,21.2,20.15,17.6,18.25,18.2,17.32,16.04,14.84,17.59,21.9,22.81,26.29,25.37,28.21,26.12,26.33,26.04,30.66,32.09,32.96,37.36,45.38,46.24,44.26,45.34,45.34,42.8
MT,3.34,6.38,5.03,10.4,13.3,17.51,21.97,22.39,21.11,25.27,21.39,22.3,17.19,16.46,14.06,25.2,29.52,33.48,35.68,34.6,40.92,38.0,36.4,34.25,31.62,32.36,31.36,30.55,31.68,33.31,32.03,32.8,34.47,36.39,42.12,36.84,35.7,32.95
MS,16.35,17.98,18.82,20.49,22.4,16.26,18.06,19.18,19.11,21.76,20.0,21.79,23.41,24.7,27.74,33.25,37.45,37.11,33.57,28.18,31.64,29.42,31.95,32.49,29.84,27.87,29.72,30.46,29.92,30.71,26.79,27.16,27.26,24.35,26.72,23.91,25.02,24.29
RS,8.14,8.43,8.6,8.15,8.3,8.11,9.04,9.51,12.54,17.56,18.92,18.54,17.01,12.56,14.08,15.02,15.38,16.88,15.45,15.37,16.55,17.98,18.37,18.15,18.67,18.64,18.09,19.85,21.92,20.54,19.5,19.35,22.12,20.8,24.31,26.17,28.57,29.29
SC,6.64,7.33,7.03,8.19,7.45,6.5,5.81,7.53,7.64,8.09,8.71,7.82,7.84,7.9,7.26,8.68,8.45,8.53,8.23,7.55,8.38,8.75,10.58,11.95,11.22,10.79,11.18,10.45,13.25,13.4,13.17,12.84,12.86,11.89,13.45,14.03,14.24,15.23
PR,10.89,12.08,13.85,14.69,13.45,11.51,11.53,11.31,12.2,13.4,13.95,14.5,12.77,14.4,14.56,15.92,15.32,17.29,17.55,18.2,18.85,21.17,23.13,25.79,28.22,29.01,29.82,29.54,32.53,34.61,34.33,32.11,32.98,26.7,26.89,26.3,27.4,24.37
SP,13.76,16.42,15.99,21.87,25.84,25.08,25.14,27.18,25.14,30.21,30.71,30.66,28.44,28.21,30.06,34.29,36.11,36.08,39.64,44.01,42.89,41.92,38.05,36.29,28.89,21.93,20.4,15.45,15.44,15.84,14.64,14.05,15.67,13.82,14.05,12.22,10.88,10.27
RJ,26.05,21.92,18.87,15.94,20.85,21.21,20.25,30.95,24.72,34.24,56.1,39.47,35.12,41.08,48.7,61.81,59.93,58.68,55.35,52.59,52.75,50.57,56.61,54.54,51.43,48.16,47.48,41.62,35.67,33.51,35.44,29.67,29.4,31.22,34.74,30.62,36.38,38.38
ES,15.07,17.17,16.68,16.77,18.02,19.91,20.65,22.45,27.7,33.87,34.63,37.22,31.81,40.69,42.5,41.41,42.49,49.63,57.85,51.87,48.14,46.02,51.35,50.12,49.08,47.0,50.86,53.33,56.38,56.92,50.98,47.14,46.59,42.25,41.42,36.9,31.96,37.87
MG,8.7,8.17,8.01,7.2,7.93,7.11,7.13,6.86,6.81,7.94,7.59,7.83,7.11,7.5,6.85,7.36,7.56,7.97,8.84,9.23,12.06,13.05,16.32,20.85,22.84,21.95,21.44,20.92,19.59,18.68,18.6,21.6,22.98,22.91,22.78,21.72,22.01,20.36
BA,3.37,3.22,4.98,3.68,4.96,5.12,5.08,6.11,7.43,9.51,7.45,5.02,7.01,12.24,13.95,12.15,15.01,15.59,9.89,7.03,9.46,12.27,13.2,16.12,16.69,20.85,23.73,25.98,33.23,37.11,41.69,39.36,43.37,37.85,40.01,39.54,46.94,48.79
SE,7.19,8.57,10.08,8.59,4.89,5.0,5.78,4.98,4.87,9.74,10.36,21.25,30.41,20.11,21.79,15.89,14.65,11.47,10.39,19.21,23.55,28.5,30.12,25.02,23.86,24.75,29.24,25.67,27.76,32.33,32.69,34.98,41.64,43.95,49.42,58.09,64.66,57.38
AL,14.12,19.37,20.74,26.27,24.98,23.02,24.81,23.08,30.38,33.31,29.21,26.45,23.31,23.77,23.25,27.63,28.14,24.11,21.65,20.42,26.55,29.06,34.32,35.61,35.11,39.89,53.1,59.51,60.33,59.35,66.88,71.39,64.63,65.07,62.78,52.33,54.18,53.71
PE,18.25,22.62,23.91,25.7,28.58,30.51,30.57,32.29,32.82,36.75,39.0,41.3,35.27,37.87,35.18,36.35,40.84,49.73,58.79,55.63,56.17,58.81,54.37,55.34,50.66,51.46,52.6,53.04,50.9,44.98,39.48,39.15,37.25,33.92,36.19,41.16,47.26,57.2
PB,10.9,12.2,11.53,12.48,13.19,12.81,15.8,12.38,13.03,14.77,13.93,12.53,11.02,11.15,11.64,13.68,19.24,14.77,13.57,11.94,14.92,13.95,17.37,17.51,19.06,20.72,22.77,23.67,27.49,33.5,38.63,42.57,39.97,39.62,39.33,38.32,33.88,33.31
RN,8.58,8.82,10.12,8.55,6.52,6.28,4.77,6.69,8.53,10.17,8.46,9.07,8.15,9.71,8.3,9.57,9.42,9.06,8.46,8.44,9.57,11.44,10.48,14.02,11.77,13.52,14.95,19.1,22.98,25.5,25.57,32.95,34.82,42.89,47.0,44.88,53.35,62.82
CE,8.41,9.23,9.04,11.01,10.45,9.5,8.86,7.28,8.36,9.84,8.86,9.53,8.33,10.72,9.59,12.59,13.0,14.83,13.49,15.53,17.19,17.01,18.88,20.15,20.12,20.98,21.81,23.19,23.89,25.33,31.8,32.73,44.63,50.95,52.31,46.75,40.63,60.23
PI,2.34,3.4,5.01,5.54,4.09,3.25,4.32,3.39,5.73,5.68,4.29,3.99,3.54,4.4,3.68,4.18,4.38,5.27,5.16,4.86,8.35,9.12,10.63,10.19,11.09,12.24,13.77,12.49,11.57,12.24,13.18,14.01,16.61,18.78,22.45,20.29,21.82,19.45
MA,2.7,3.56,3.51,3.86,4.25,3.66,5.75,6.27,7.33,8.64,9.14,9.53,8.57,7.74,6.08,7.36,6.95,6.29,5.19,4.84,6.42,9.82,10.44,13.54,12.32,15.32,15.67,17.99,20.25,21.96,23.1,23.94,26.47,31.84,35.94,35.31,34.63,31.14
TO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.11,5.99,10.0,7.1,9.59,11.0,7.65,12.02,10.36,11.64,12.07,15.15,17.89,14.08,16.58,15.8,14.55,17.19,16.63,18.51,22.37,23.64,25.77,26.73,23.61,25.45,33.2,37.64,35.93
AP,3.99,8.15,11.81,13.62,11.55,14.97,12.62,10.07,7.74,14.53,16.54,18.66,23.88,21.37,39.36,38.02,41.37,34.83,38.02,43.66,34.0,36.49,35.04,34.59,31.1,32.96,32.81,27.02,34.25,30.32,38.83,30.54,36.22,30.61,34.09,38.22,48.7,48.01
PA,8.93,9.57,9.87,12.03,13.18,12.35,13.69,12.39,13.0,14.27,15.59,16.36,15.02,11.95,13.43,12.85,12.7,13.34,13.42,10.91,13.42,15.23,18.47,21.37,22.69,27.63,29.15,30.27,39.06,40.22,46.44,39.97,41.37,42.72,42.68,44.95,50.85,54.68
RR,13.9,17.8,28.18,17.24,13.18,8.45,8.39,4.18,38.88,58.81,62.26,36.31,42.61,28.62,30.98,33.18,43.3,35.36,51.4,57.69,47.59,32.02,35.17,29.67,23.12,24.28,27.52,27.93,25.44,28.0,26.86,20.64,30.67,43.85,31.79,40.15,39.67,47.45
AM,9.65,9.18,10.16,9.38,12.5,10.6,8.84,9.89,11.87,16.22,18.02,19.16,16.29,15.78,17.05,18.32,18.83,19.02,21.18,20.42,20.9,16.72,17.32,18.41,16.97,18.53,21.11,21.1,24.84,26.99,31.06,36.51,37.43,31.28,32.01,37.38,36.28,41.19
AC,8.63,9.02,12.76,9.93,10.49,14.4,16.99,26.09,19.68,23.97,15.75,25.38,24.9,26.51,19.71,22.62,21.51,19.99,21.4,9.66,19.56,21.07,25.73,24.48,18.56,18.51,23.01,19.48,19.56,22.14,22.49,21.97,27.41,30.14,29.36,27.01,44.45,62.2
